Address,Total Zoo
0x31a1938D687B821717365cF9E6F5e9CB7D267c5C,"65,538,342.00"
0xDF7D78f85B5BC415c96198b76A442a426FbB535a,
0xd8C5FAC28Ab59ebA3379f5085Ef7391AE1906Ca1,"899,999,113"
0x58f362E7BbafA5E0E2E67C6ADB025002d58A26E2,"357,253,391"
0xCbDaB10d6d43844400879e86f47F082e24170427,"721,684,897"
0x036dc19C8A195b4228630Ac720FaF9D7F4181107,"706,382,486"
0x955A1a68613C028Ea98b0b5dcC58901897EB90DB,"2,400,000,000"
0x4f72f91165Bb41aF82910eD4aD6e6d0128444c27,
0x77EF867E6a676e72757EE7D14E9251C44E073231,"60,515,300"
0x3a96bd5b746a0a5aa730c6da1985a6f9b76efda0,"80,000,000"
0x62386080Ddfe00ca0134f7A9Bc081B3445ada4df,"3,150,099,828"
0x02f4d261f0e99bAAa8D612859269efBC1a9423A3,
0x57f85b735C964eEF4dA8405adA25ee75B58e7824,"856,000,000"
0x5c62F426afF4a5D72d3EeCc977fd0aD6faa4E7dE,"396,404,925.00"
0xb88394899eBFB957573166770F9A8E2c9e1bdF9b,"576,433,840.00"
0x4d51dcd9aC2626AcFcEE960074387EB2065773C2,"67,452,015,414"
0x287a279c2F0A52ee85DE529e03c345D85737EB96,"20,590,600"
0x887bb1e007018e5fd9e6aec93400790ac2ca8926,"20,590,600"
0xB2d7e1da63248288e381b1CAd54b0783842e2C89,"500,190,369"
0x837ac7475B525181AE01d4A4fF134C66bD46376c,"130,000,000"
0xa9eebfa9205ae215fdba6d2447fc52a63d3ff961,"210,000,000"
0x8e7788ee2b1d3e5451e182035d6b2b566c2fe997,"405,757,147.00"
0xb9e557e2BdCdFbCA2335B0Ae73ae0a1F44f748B2,"405,757,147"
0x6e5e37E74b72b1ff982aF10cEb8E44Fb81e4b855,"184,526,775"
0x6A76f4D454fC3119Efd229d38Ce825AD0A75659C,"82,000,000"
0x67758005e22da9e3d435e73b5dab54aa27c713fe,"997,149,148.00"
0xbA1Cece4BfEfd37d374fa58F385F60B16A18088a,"1,000,000,000"
0x2e61C2e49C14af0Bc5b243855626603dC3dB5E11,"2,000,000,000"
0x7f7accb5459818bffb3e4b80959f83bcfcbf5363,"777,591,037"
0xb2b37895aede26e8f945c2c92b9d80c76cafe2b5,"799,999,991"
0x315e0b7dc35dfc664c19d10d2d9058caf323cdf4,"1,000,000,007"
0x396ef525d088eff443e626f7fdd6968028f54206,"1,000,000,000"
0x06c21edf0be8104098ac9646a677b4e4164ed31b,"160,000,000"
0x410114ea7Aa17d7DB2bD3caB36D818293a21De1d,"25,000,000,000"
0x4dE7b9Ed2275508ce0fd3D5bDD84d868aD3827C5,"15,000,000,000"
0x7E84C440cC36878A26EB2c17286068c69b018949,"10,647,829,142"
0xfa5d19dcbfb67f230702b99c4aebb09019e4a151,"4,480,000,000"
0xa1c80355e5633d5d6c50345bc362de6320e8ad7a,"2,000,000,000"
,
,
,
,
,
,
0x42b99069B26Ba2eB1e45F70F593D22dA00cc8B4d,"2,098,078,748"
,
,"2,098,078,748"
,
,
018ca6e7d8369fe6c351f61333cfe9103712ecfb,6928441.848
0x2C25a58bF5c82E24e52BB7F5abCCe429eAEbFfc7,18314504.09
0x0A1650f3c6836E613159c602b75B7E0dCfBc18b2,"3,076,286,550"
0x0E9E8dbDC78d52F6c98797a4Cd2c6450872c1C16,"3,084,250,600"
10470398ebe6878c1a7ceacbaaa0a131ce9f7d22,
0x24670241d16c6bf56489b090e02Cb863BD82d105,"20,748,611,741"
0x4f97dca660817e89d93c38efb1f461ef50fea125,"929,214,722"
0xb937512869134745c3be80533c87b94349d1017f,"19,955,010.00"
657216b83a990e26063b6e12e5463e494140668b,"1,454,692,018"
0x48a4b740b75ffc89710965bce02291b71b5abf8a,
0x6bae0861283db6cb033e4e03405b4522f946366a,"1,000,000"
0x2c25a58bf5c82e24e52bb7f5abcce429eaebffc6,"18,314,504"
0x814327104c7c2b626105c6d05c9121da00622c44,"460,505,387"
0x9f8a1fd9fef1399a8b94b09e2e96f0920db13670,"8,101,699"
0xa42d7a0575108d91d2b69dd4c97da796c446c587,"25,861,913"
0xa8a9b183782fb430f80a6a3d2f454c852be33871,"537,762,592"
0xcb05a5c6844af14e0e0191b16395297cc41a6159,"5,046,505,540"
0xdc0b4f54a56d5bd18affcb06b8ecf135767ef420???,
